Score,Oral
70,1
45,1
70,1
35,1
55,1
35,1
45,1
100,1
90,1
95,1
60,1
70,1
85,1
65,1
70,1
50,1
70,1
65,1
75,1
70,1
60,1
70,1
40,1
45,1
72.5,1
67.5,1
70,1
60,1
57.5,1
86,1
90,1
50,1
60,1
45,1
80,1
80,1
70,1
75,1
70,1
35,1
65,1
50,1
90,1
77.5,1
56.25,1
45,1
60,1
85,1
51.25,1
7.5,1
65,1
82.5,1
72.5,1
67.5,1
78.75,1
71.25,1
87.5,1
45,1
85,1
76.25,1
68.75,1
61.25,1
51.25,1
80,1
60,1
40,1
70,1
35,1
45,1
87.5,1
60,1
30,1
60,1
55,1
60,1
70,1
80,1
30,1
75,1
70,1
85,1
35,1
50,1
70,1
55,1
75,1
55,1
55,1
80,0
85,0
65,0
77.5,0
85,0
77.5,0
90,0
97.5,0
97.5,0
97.5,0
95,0
77.5,0
95,0
90,0
92.5,0
80,0
85,0
80,0
95,0
92.5,0
75,0
37.5,0
90,0
57.5,0
70,0
85,0
75,0
77.5,0
55,0
60,0
82.5,0
65,0
67.5,0
67.5,0
75,0
82.5,0
70,0
67.5,0
32.5,0
70,0
77.5,0
72.5,0
85,0
80,0
60,0
37.5,0
75,0
72.5,0
75,0
60,0
57.5,0
80,0
85,0
75,0
85,0
70,0
65,0
85,0
75,0
80,0
92.5,0
77.5,0
72.5,0
80,0
57.5,0
70,0
60,0
42.5,0
85,0
95,0
92.5,0
80,0
80,0
87.5,0
60,0
87.5,0
87.5,0
72.5,0
95,0
92.5,0
85,0
85,0
72.5,0
80,0
72.5,0
50,0
85,0
92.5,0
